Material,Material Description,nb of kit,Kit type,kit Family 2,Kit level,Amt.in loc.cur.,X-Plant - Copy
S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",600,Standard kit,Health,Master kit,$348876,Active material
S9901041,"IEHK 2024,Basic Malaria UNIT",35,Standard kit,Health,Master kit,$37727,Active material
S9901042,"IEHK 2024,Basic Equipment UNIT",160,Standard kit,Health,Master kit,$9890,Active material
S9901043,"IEHK 2024,Suppl. Medicine Oral UNIT",1,Standard kit,Health,Master kit,$1529,Active material
S9901045,"IEHK 2024,Suppl. Med Mental Health UNIT",167,Standard kit,Health,Master kit,$22329,Active material
S9901047,"IEHK 2024,Suppl Medicine Cold Chain UNIT",13,Standard kit,Health,Master kit,$2131,Active material
S9901048,"IEHK 2024,Suppl. Malaria UNIT",20,Standard kit,Health,Master kit,$25206,Active material
S9901049,"IEHK 2024,Suppl. PEP Unit",400,Standard kit,Health,Master kit,$166290,Active material
S9902217,"Midwifery kit,1-drugs",47710,Standard kit,Midwifery,Master kit,$15008743,Active material
S9902219,"Midwifery kit,3-renewable",56257,Standard kit,Midwifery,Master kit,$13105672,Active material
S9902220,S9902220,12165,Standard kit,Midwifery,Master kit,$193743,Active material
S9902221,"Midwifery kit – equipment, 2",25461,Standard kit,Midwifery,Master kit,$4499953,Active material
S9902302,Nigeria Kit 2017,21009,Country specific,Health,Master kit,$12586630,Active material
S9902410,"NBK,Community,Part B, Module 1,Medicines",2327,Standard kit,New Born Kits,Master kit,$2185224,Active material
S9902420,"NBK,Community,Part B, Module 2,Equipment",2115,Standard kit,New Born Kits,Master kit,$553193,Active material
S9902430,"NBK, Clinic, Module 1, Medicines",397,Standard kit,New Born Kits,Master kit,$1458554,Active material
S9902440,"NBK, Clinic, Module 2, Consumables",431,Standard kit,New Born Kits,Master kit,$352563,Active material
S9902450,"NBK, Clinic, Module 3, Equipment",557,Standard kit,New Born Kits,Master kit,$642264,Active material
S9902460,"NBK, Hospital, Module 1, Medicines",83,Standard kit,New Born Kits,Master kit,$767026,Active material
S9902470,"NBK, Hospital, Module 2, Consumables",91,Standard kit,New Born Kits,Master kit,$164958,Active material
S9902480,"NBK, Hospital, Module 3, Equipment",33,Standard kit,New Born Kits,Master kit,$464475,Active material
S9902600,Clean Delivery Kit,94451,Standard kit,Health,Master kit,$519101,Active material
S9903000,"AWD, Community kit, Community Care",9513,Standard kit,Wash,Master kit,$1539667,Active material
S9903001,"AWD Kit, Periphery kit, Logistics Part",6162,Standard kit,Wash,Master kit,$6222450,Active material
S9903002,"AWD, Periphery kit, Equipment",8779,Standard kit,Wash,Master kit,$3332855,Active material
S9903003,"AWD, Periphery kit, Renewable",10710,Standard kit,Wash,Master kit,$4891613,Active material
S9903004,AWD Periphery kit Drug,21707,Standard kit,Wash,Master kit,$15046505,Active material
S9903005,AWD Community Kit Drug,12632,Standard kit,Wash,Master kit,$1246918,Active material
S9906706,Ethiopia Midwifery kit 3-renew,7925,Country specific,Midwifery,Master kit,$1653953,Active material
S9906708,"Ethiopia IEHK2011,kit,suppl.3-renew",3006,Country specific,Health,Master kit,$1929596,Active material
S9906710,Ethiopia Emergency Drug kit 2019,4867,Country specific,Health,Master kit,$7398154,Active material
S9906712,"Sudan, Primary Healthcare kit, 2016",4487,Country specific,Health,Master kit,$3637821,Active material
S9906713,"Sudan, IMCI Medicine kit, 2016",4403,Country specific,Health,Master kit,$5859767,Active material
S9906714,"Sudan Community Midwife kit, 2016",6085,Country specific,Midwifery,Master kit,$953241,Active material
S9906719,DPRK EM Kit 2018,16341,Country specific,Health,Master kit,$3238972,Active material
S9906728,DRC Health Centre kit 2016,340,Country specific,Health,Master kit,$234049,Active material
S9906729,DRC Measles Kit 2021,1133,Country specific,Health,Master kit,$595119,Active material
S9906731,DPRK HHD Kit Refill 2018,6519,Country specific,Health,Master kit,$546344,Active material
S9906732,DPRK Household Doctors Kit 2018,3123,Country specific,Health,Master kit,$312830,Active material
S9906733,South Sudan PHCC Kit 2018 Basic Medicin,998,Country specific,Health,Master kit,$1882576,Active material
S9906734,"South Sudan, PHCU Kit 2018",1607,Country specific,Health,Master kit,$2513426,Active material
