Order,Material Number,Material description,Order quantity (GMEIN),Basic start date,Basic finish date,GOS Text display for CPH production orde
100033720,S9999987,Prepack for ECD Kits  2016,800,2025-03-24,2025-03-28,
100033963,S9906742,Mozambique Community Health Worker Kit,976,2025-03-24,2025-03-28,
100033968,S9906742,Mozambique Community Health Worker Kit,976,2025-03-24,2025-03-28,
100033969,S9906742,Mozambique Community Health Worker Kit,976,2025-03-24,2025-03-28,
100033970,S9906742,Mozambique Community Health Worker Kit,976,2025-03-24,2025-03-28,
100033971,S9906742,Mozambique Community Health Worker Kit,976,2025-03-24,2025-03-28,
100033972,S9906742,Mozambique Community Health Worker Kit,976,2025-03-24,2025-03-28,
100034009,S9901050,"IEHK 2024,Suppl. Renewable UNIT",400,2025-03-24,2025-03-28,
100034015,S9901042,"IEHK 2024,Basic Equipment UNIT",800,2025-03-24,2025-03-28,
100034522,S9999987,Prepack for ECD Kits  2016,800,2025-03-24,2025-03-28,
100034559,S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",800,2025-03-24,2025-03-28,
100034572,S9999138,PP 2/3 (old 2/7)Periphery Renew S9903003,300,2025-03-24,2025-03-28,
100034663,S9991121,SUB 1/5 f.S9901026 IEHK2017 part 1,66,2025-03-24,2025-03-28,
100034676,S9908302,"Obstetric,surgical kit,suppl.3-renewable",20,2025-03-24,2025-03-28,
100034749,S9999987,Prepack for ECD Kits  2016,800,2025-03-24,2025-03-28,
100034757,S9908305,"Obstetric,surgical kit,suppl.2-equipment",30,2025-03-24,2025-03-28,
100034758,S9902440,"NBK, Clinic, Module 2, Consumables",54,2025-03-24,2025-03-28,
100034773,S9906742,Mozambique Community Health Worker Kit,976,2025-03-24,2025-03-28,
100034775,S9906742,Mozambique Community Health Worker Kit,976,2025-03-24,2025-03-28,
100034795,S9999987,Prepack for ECD Kits  2016,800,2025-03-24,2025-03-28,
100034815,S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",800,2025-03-24,2025-03-28,
100034841,S9990041,"Sub 1/2 IEHK2017,kit,basic module",113,2025-03-24,2025-03-28,
100034846,S9990042,"Sub 2/2 IEHK2017,kit,basic module",273,2025-03-24,2025-03-28,
100034858,S9903001,"AWD Kit, Periphery kit, Logistics Part",100,2025-03-24,2025-03-28,
100034917,S9906742,Mozambique Community Health Worker Kit,976,2025-03-24,2025-03-28,
100034925,S9999841,"Subkit 1/4 S9902217 Midwifery kit,1-drug",400,2025-03-24,2025-03-28,
100034926,S9999842,"Subkit 2/4 S9902217 Midwifery kit,1-drug",78,2025-03-24,2025-03-28,
100034927,S9999843,"Subkit 3/4 S9902217 Midwifery kit,1-drug",78,2025-03-24,2025-03-28,
100034928,S9999844,"Subkit 4/4 S9902217 Midwifery kit,1-drug",78,2025-03-24,2025-03-28,
100034942,S9903004,AWD Periphery kit Drug,300,2025-03-24,2025-03-28,
100034973,S9906742,Mozambique Community Health Worker Kit,660,2025-03-24,2025-03-28,
100034991,S9935080,Arabic Student Kit Grade 1-4,2032,2025-03-24,2025-03-28,
100035031,S9999992,First Aid kit-prepack for S9975020   (I),780,2025-03-24,2025-03-28,
100035032,S9999992,First Aid kit-prepack for S9975020   (I),780,2025-03-24,2025-03-28,
100035066,S9999129,Prepack 1/1 Community Care,200,2025-03-24,2025-03-28,
100035071,S9991122,SUB 2/5 f.S9901026 IEHK2017 part 2,258,2025-03-24,2025-03-28,
100035084,S9935019,"School-in-a-bag kit,40 student,1 teacher",1605,2025-03-24,2025-03-28,
100035088,S9901043,"IEHK 2024,Suppl. Medicine Oral UNIT",10,2025-03-24,2025-03-28,
100035022,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",792,2025-03-28,2025-04-04,
100033962,S9906742,Mozambique Community Health Worker Kit,976,2025-03-31,2025-04-04,
100034010,S9901051,"IEHK 2024,Suppl. Equipment UNIT",350,2025-03-31,2025-04-04,
100034014,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",900,2025-03-31,2025-04-04,
100034026,S9901044,"IEHK 2024,Suppl. Medicine Inj. UNIT",37,2025-03-31,2025-04-04,
100034032,S9901045,"IEHK 2024,Suppl. Med Mental Health UNIT",200,2025-03-31,2025-04-04,
100034374,S9999492,"Subkit 2/3 Sudan,Primary Healthcare2016",276,2025-03-31,2025-04-04,
100034433,S9999995,Sub 1/10 Obstetric S9908300(i) part 1,60,2025-03-31,2025-04-04,
100034521,S9935064,"Early Childhood Dvt (ECD) kit, 2016",800,2025-03-31,2025-04-04,
100034532,S9992416,"SUB 1/3 NBK,Community,Part B,Module1,Med",350,2025-03-31,2025-04-04,
100034552,S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",800,2025-03-31,2025-04-04,
100034600,S9902430,"NBK, Clinic, Module 1, Medicines",25,2025-03-31,2025-04-04,
100034691,S9902221,"Midwifery kit – equipment, 2",200,2025-03-31,2025-04-04,
100034693,S9901024,"IEHK2017, kit, basic unit",273,2025-03-31,2025-04-04,
100034700,S9935090,"Syria Paediatric Kit, 2019",792,2025-03-31,2025-04-04,
100034701,S9999591,"1/3PP Syria Paediatric Kit,2019 S9935090",792,2025-03-31,2025-04-04,
100034702,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",740,2025-03-31,2025-04-04,
100034703,S9999593,"3/3PP Syria Paediatric Kit,2019 S9935090",740,2025-03-31,2025-04-04,
