Order,Material Number,Material description,Order quantity (GMEIN),Basic start date,Basic finish date,GOS Text display for CPH production orde
100035188,S9910000,"Surg.inst.,abdominal /SET",150,2025-07-07,2025-07-11,
100035218,S9999126,AWD Periphery kit Drug S9903004 sub 3/4,287,2025-07-07,2025-07-11,
100035228,S9935065,"ECD kit-in-a-carton, 2016",800,2025-07-07,2025-07-11,
100035234,S9975020,First aid kit class A,780,2025-07-07,2025-07-11,
100035451,S9999987,Prepack for ECD Kits  2016,800,2025-07-07,2025-07-11,
100035503,S9991052,"SUB 1/6 IEHK 2024,Suppl. Renewable UNIT",400,2025-07-07,2025-07-11,
100035513,S9999945,"Prepack 2/2 Obstetric,surgical kit,suppl",44,2025-07-07,2025-07-11,
100035525,S9991145,"SUB 1/5 IEHK 2024,Suppl. Medicine Inj.",30,2025-07-07,2025-07-11,
100035539,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-07,2025-07-11,
100035564,S9935064,"Early Childhood Dvt (ECD) kit, 2016",800,2025-07-07,2025-07-11,
100035584,S9999501,"Prepack 1/2 Sudan Co. Midwife kit, 2016",600,2025-07-07,2025-07-11,
100035693,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-07,2025-07-11,
100035694,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-07,2025-07-11,
100035699,S9999125,AWD Periphery kit Drug S9903004 sub 2/4,184,2025-07-07,2025-07-11,
100035703,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-07-07,2025-07-11,
100035704,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-07-07,2025-07-11,
100035705,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-07-07,2025-07-11,
100035706,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-07-07,2025-07-11,
100035707,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-07-07,2025-07-11,
100035708,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-07-07,2025-07-11,
100035732,S9998508,"Sub 7/7 SD IMCI Med. kit, 2016",150,2025-07-07,2025-07-11,
100035745,S9999490,Sub 4/4 SD Primary Healthcare2016,500,2025-07-07,2025-07-11,
100035759,S9999992,First Aid kit-prepack for S9975020   (I),780,2025-07-07,2025-07-11,
100035769,S9999944,"Prepack 1/2 Obstetric,surgical kit,suppl",44,2025-07-07,2025-07-11,
100035780,S9999992,First Aid kit-prepack for S9975020   (I),780,2025-07-07,2025-07-11,
100035797,S9999842,"Subkit 2/4 S9902217 Midwifery kit,1-drug",200,2025-07-07,2025-07-11,
100035799,S9999844,"Subkit 4/4 S9902217 Midwifery kit,1-drug",200,2025-07-07,2025-07-11,
100035857,S9902219,"Midwifery kit,3-renewable",241,2025-07-07,2025-07-11,
100035861,S9906806,"Yemen PHC kit 2025, Consumables",1,2025-07-07,2025-07-11,
100035870,S9999147,"PP 1/1 AWD Periphery, Equipment",300,2025-07-07,2025-07-11,
100035872,S9935019,"School-in-a-bag kit,40 student,1 teacher",900,2025-07-07,2025-07-11,
100035921,S9935097,"School-in-a-box,40 students, 2016",800,2025-07-07,2025-07-11,
100035796,S9999841,"Subkit 1/4 S9902217 Midwifery kit,1-drug",200,2025-07-08,2025-07-11,
100034031,S9901045,"IEHK 2024,Suppl. Med Mental Health UNIT",100,2025-07-14,2025-07-18,
100034813,S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",100,2025-07-14,2025-07-18,
100035182,S9975020,First aid kit class A,780,2025-07-14,2025-07-18,
100035515,S9999993,Sub 3/10 Obstetric S9908300(i) part 3,44,2025-07-14,2025-07-18,
100035516,S9999974,Sub 10/10 Obstetric S9908300 part 10-42,40,2025-07-14,2025-07-18,
100035520,S9999976,Sub 7/10 Obstetric S9908300(i) part 7,44,2025-07-14,2025-07-18,
100035521,S9999977,Sub 8/10 Obstetric S9908300(i) part 8,44,2025-07-14,2025-07-18,
100035522,S9999971,Sub 9/10 Obstetric S9908300(i) part 9,44,2025-07-14,2025-07-18,
100035570,S9999883,Subkit 3/6 Obstetric 3-renew.S9908302,100,2025-07-14,2025-07-18,
100035573,S9999884,Subkit 4/6 Obstetric 3-renew.S9908302,100,2025-07-14,2025-07-18,
100035576,S9999886,Subkit 6/6 Obstetric 3-renew.S9908302,100,2025-07-14,2025-07-18,
100035582,S9906714,"SD, Community Midwife kit, 2016",600,2025-07-14,2025-07-18,
100035596,S9999957,Prepack 1/1 Midwifery 2-Equip S9902221,400,2025-07-14,2025-07-18,
100035607,S9999491,"Sub 1/4, SD SD,Primary Healthcare2016",138,2025-07-14,2025-07-18,
100035618,S9999493,"Sub 3/4 , SD Primary Healthcare2016",110,2025-07-14,2025-07-18,
100035626,S9996722,DRC Measles Kit 2021 SUB 2/5,7,2025-07-14,2025-07-18,
100035631,S9935019,"School-in-a-bag kit,40 student,1 teacher",1600,2025-07-14,2025-07-18,
100035633,S9999990,Education prepack 1 for new SIB  (I),800,2025-07-14,2025-07-18,
100035634,S9999989,prepack 3 system-wise (not physical),1526,2025-07-14,2025-07-18,
100035678,S9999145,"AWD SUB 2/3 Periphery,Renewable",106,2025-07-14,2025-07-18,
100035716,S9999995,Sub 1/10 Obstetric S9908300(i) part 1,50,2025-07-14,2025-07-18,
100035717,S9999994,Sub 2/10 Obstetric S9908300(i) part 2,44,2025-07-14,2025-07-18,
100035718,S9999975,Sub 4/10 Obstetric S9908300(i) part 4,50,2025-07-14,2025-07-18,
100035719,S9999973,Sub 5/10 Obstetric S9908300(i) part 5,44,2025-07-14,2025-07-18,
100035721,S9935034,"Recreation kit-in-a-carton, 2016",800,2025-07-14,2025-07-18,
100035725,S9999506,"Sub 2/7 SD IMCI Med. kit, 2016",500,2025-07-14,2025-07-18,
100035727,S9999507,"Sub 3/7 SD IMCI Med. kit, 2016",500,2025-07-14,2025-07-18,
100035729,S9998505,"Sub 4/7 SD IMCI Med. kit, 2016",500,2025-07-14,2025-07-18,
100035730,S9998506,"Sub 5/7 SD IMCI Med. kit, 2016",375,2025-07-14,2025-07-18,
100035731,S9998507,"Sub 6/7 SD IMCI Med. kit, 2016",375,2025-07-14,2025-07-18,
100035737,S9991048,"IEHK 2024,Suppl. Malaria UNIT SUB 1/4",40,2025-07-14,2025-07-18,
100035738,S9991049,"IEHK 2024,Suppl. Malaria UNIT SUB 2/4",40,2025-07-14,2025-07-18,
100035739,S9991050,"IEHK 2024,Suppl. Malaria UNIT SUB 3/4",40,2025-07-14,2025-07-18,
100035755,S9903002,"AWD, Periphery kit, Equipment",300,2025-07-14,2025-07-18,
100035770,S9906742,Mozambique Community Health Worker Kit,800,2025-07-14,2025-07-18,
100035773,S9991150,"PP 1/2 ml IEHK 2024,Suppl. Medicine Inj.",30,2025-07-14,2025-07-18,
100035781,S9999992,First Aid kit-prepack for S9975020   (I),780,2025-07-14,2025-07-18,
100035782,S9999992,First Aid kit-prepack for S9975020   (I),780,2025-07-14,2025-07-18,
100035794,S9908200,"Sterilization, kit C",200,2025-07-14,2025-07-18,
100035798,S9999843,"Subkit 3/4 S9902217 Midwifery kit,1-drug",200,2025-07-14,2025-07-18,
100035812,S9999987,Prepack for ECD Kits  2016,800,2025-07-14,2025-07-18,
100035820,S9991051,"IEHK 2024,Suppl. Malaria UNIT SUB 4/4",40,2025-07-14,2025-07-18,
100035838,S9991053,"SUB 2/6 IEHK 2024,Suppl. Renewable UNIT",400,2025-07-14,2025-07-18,
100035871,S9901050,"IEHK 2024,Suppl. Renewable UNIT",400,2025-07-14,2025-07-18,
100035885,S9935051,"School-in-a-carton, Yemen",175,2025-07-14,2025-07-18,
100035918,S9992451,"SUB 1/5 NBK, Clinic, Module 3, Equipment",10,2025-07-14,2025-07-18,
100035919,S9992452,"SUB 2/5 NBK, Clinic, Module 3, Equipment",10,2025-07-14,2025-07-18,
100035940,S9992453,"SUB 3/5 NBK, Clinic, Module 3, Equipment",10,2025-07-14,2025-07-18,
100035941,S9992454,"SUB 4/5 NBK, Clinic, Module 3, Equipment",10,2025-07-14,2025-07-18,
100035942,S9992458,"SUB 5/5 NBK, Clinic, Module 3, Equipment",10,2025-07-14,2025-07-18,
100035774,S9991149,"IEHK 2024,Suppl. Medicine Inj. S9901044",70,2025-07-16,2025-07-23,
100034557,S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",800,2025-07-21,2025-07-25,
100035146,S9935011,"School-in-a-carton,40 students, 2016",800,2025-07-21,2025-07-25,
100035372,S9991054,"SUB 3/6 IEHK 2024,Suppl. Renewable UNIT",240,2025-07-21,2025-07-25,
100035388,S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",800,2025-07-21,2025-07-25,
100035444,S9999146,"AWD SUB 3/3 Periphery,Renewable",300,2025-07-21,2025-07-25,
100035517,S9999975,Sub 4/10 Obstetric S9908300(i) part 4,25,2025-07-21,2025-07-25,
100035523,S9901044,"IEHK 2024,Suppl. Medicine Inj. UNIT",30,2025-07-21,2025-07-25,
100035531,S9991149,"IEHK 2024,Suppl. Medicine Inj. S9901044",33,2025-07-21,2025-07-25,
100035567,S9908302,"Obstetric,surgical kit,suppl.3-renewable",100,2025-07-21,2025-07-25,
100035594,S9902600,Clean Delivery Kit,4500,2025-07-21,2025-07-25,
100035595,S9902221,"Midwifery kit – equipment, 2",400,2025-07-21,2025-07-25,
100035600,S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",800,2025-07-21,2025-07-25,
100035601,S9999150,Prepack 1/1 Mozambique  Kit 2016,156,2025-07-21,2025-07-25,
100035627,S9996721,DRC Measles Kit 2021 SUB 1/5,7,2025-07-21,2025-07-25,
100035632,S9935011,"School-in-a-carton,40 students, 2016",800,2025-07-21,2025-07-25,
100035635,S9902217,"Midwifery kit,1-drugs",200,2025-07-21,2025-07-25,
100035645,S9999505,"Sub 1/7 SD IMCI Med. kit, 2016",350,2025-07-21,2025-07-25,
100035651,S9998506,"Sub 5/7 SD IMCI Med. kit, 2016",333,2025-07-21,2025-07-25,
100035652,S9998507,"Sub 6/7 SD IMCI Med. kit, 2016",333,2025-07-21,2025-07-25,
100035672,S9999144,"AWD SUB 1/3 Periphery,Renewable",106,2025-07-21,2025-07-25,
100035688,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-21,2025-07-25,
100035689,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-21,2025-07-25,
100035723,S9906713,"SD, IMCI Medicine kit, 2016",150,2025-07-21,2025-07-25,
100035736,S9901048,"IEHK 2024,Suppl. Malaria UNIT",40,2025-07-21,2025-07-25,
100035750,S9935065,"ECD kit-in-a-carton, 2016",800,2025-07-21,2025-07-25,
100035768,S9908300,"Obstetric,surgical kit,suppl.1-drugs",50,2025-07-21,2025-07-25,
100035772,S9991145,"SUB 1/5 IEHK 2024,Suppl. Medicine Inj.",70,2025-07-21,2025-07-25,
100035783,S9999992,First Aid kit-prepack for S9975020   (I),780,2025-07-21,2025-07-25,
100035784,S9999992,First Aid kit-prepack for S9975020   (I),780,2025-07-21,2025-07-25,
100035800,S9996725,DRC Measles Kit 2021 SUB 5/5,7,2025-07-21,2025-07-25,
100035801,S9996724,DRC Measles Kit 2021 SUB 4/5,7,2025-07-21,2025-07-25,
100035802,S9996723,DRC Measles Kit 2021 SUB 3/5,7,2025-07-21,2025-07-25,
100035874,S9902219,"Midwifery kit,3-renewable",459,2025-07-21,2025-07-25,
100035875,S9935090,"Syria Paediatric Kit, 2019",26,2025-07-21,2025-07-25,
100035888,S9999492,"Sub 2/4 , SD Primary Healthcare2016",37,2025-07-21,2025-07-25,
100034907,S9994921,"IEHK 2024,Suppl. PEP Unit sub1/3 Child",500,2025-07-28,2025-08-01,
100034908,S9994922,"IEHK 2024,Suppl. PEP Unit sub2/3 Adult",200,2025-07-28,2025-08-01,
100034909,S9994923,"IEHK 2024,Suppl. PEP Unit sub3/3 Adult",200,2025-07-28,2025-08-01,
100034976,S9999591,"1/3PP Syria Paediatric Kit,2019 S9935090",323,2025-07-28,2025-08-01,
100035171,S9901047,"IEHK 2024,Suppl Medicine Cold Chain UNIT",7,2025-07-28,2025-08-01,
100035533,S9903003,"AWD, Periphery kit, Renewable",300,2025-07-28,2025-08-01,
100035548,S9999506,"Sub 2/7 SD IMCI Med. kit, 2016",208,2025-07-28,2025-08-01,
100035552,S9999507,"Sub 3/7 SD IMCI Med. kit, 2016",208,2025-07-28,2025-08-01,
100035556,S9998505,"Sub 4/7 SD IMCI Med. kit, 2016",208,2025-07-28,2025-08-01,
100035559,S9998508,"Sub 7/7 SD IMCI Med. kit, 2016",558,2025-07-28,2025-08-01,
100035603,S9906712,"SD, Primary Healthcare kit, 2016",110,2025-07-28,2025-08-01,
100035610,S9999495,"Prepack 2/3 SD,Primary Healthcare2016",286,2025-07-28,2025-08-01,
100035613,S9999496,"Prepack 3/3 SD,Primary Healthcare2016",314,2025-07-28,2025-08-01,
100035628,S9906729,DRC Measles Kit 2021,7,2025-07-28,2025-08-01,
100035661,S9906742,Mozambique Community Health Worker Kit,140,2025-07-28,2025-08-01,
100035670,S9901041,"IEHK 2024,Basic Malaria UNIT",20,2025-07-28,2025-08-01,
100035690,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-28,2025-08-01,
100035691,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-28,2025-08-01,
100035692,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-28,2025-08-01,
100035695,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-28,2025-08-01,
100035696,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-28,2025-08-01,
100035697,S9999124,AWD Periphery kit Drug S9903004,33,2025-07-28,2025-08-01,
100035746,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",800,2025-07-28,2025-08-01,
100035757,S9975020,First aid kit class A,780,2025-07-28,2025-08-01,
100035761,S9999933,Prepack 1/1 School in a Bag,800,2025-07-28,2025-08-01,
100035771,S9901044,"IEHK 2024,Suppl. Medicine Inj. UNIT",70,2025-07-28,2025-08-01,
100035785,S9999992,First Aid kit-prepack for S9975020   (I),780,2025-07-28,2025-08-01,
100035789,S9975020,First aid kit class A,780,2025-07-28,2025-08-01,
100035790,S9975020,First aid kit class A,780,2025-07-28,2025-08-01,
100035916,S9903004,AWD Periphery kit Drug,300,2025-07-28,2025-08-01,
100035917,S9902450,"NBK, Clinic, Module 3, Equipment",10,2025-07-28,2025-08-01,
100034032,S9901045,"IEHK 2024,Suppl. Med Mental Health UNIT",100,2025-08-04,2025-08-08,
100034042,S9901049,"IEHK 2024,Suppl. PEP Unit",200,2025-08-04,2025-08-08,
100034979,S9935090,"Syria Paediatric Kit, 2019",643,2025-08-04,2025-08-08,
100035546,S9999505,"Sub 1/7 SD IMCI Med. kit, 2016",208,2025-08-04,2025-08-08,
100035597,S9935034,"Recreation kit-in-a-carton, 2016",800,2025-08-04,2025-08-08,
100035677,S9999149,"AWD BAG 1/1 Periphery,Renewable S9903003",300,2025-08-04,2025-08-08,
100035709,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-08-04,2025-08-08,
100035710,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-08-04,2025-08-08,
100035711,S9999127,AWD Periphery kit Drug S9903004 sub 4/4,48,2025-08-04,2025-08-08,
100035744,S9999490,Sub 4/4 SD Primary Healthcare2016,1160,2025-08-04,2025-08-08,
100034715,S9935082,Arabic Teacher's Kit,792,2025-08-11,2025-08-15,
100034867,S9992412,"SUB 2/3 NBK,Community,Part B,Module1,Med",41,2025-08-11,2025-08-15,
100035089,S9906729,DRC Measles Kit 2021,17,2025-08-11,2025-08-15,
100035091,S9996722,DRC Measles Kit 2021 SUB 2/5,17,2025-08-11,2025-08-15,
