Order,Material Number,Material description,Order quantity (GMEIN),Basic start date,Basic finish date,System Status
100033364,S9992431,"SUB 1/8 NBK, Clinic, Module 1, Medicines",14,2025-03-03,2025-03-07,REL  PRC  BCRQ MACM SETC
100034881,S9991123,SUB 3/5 f.S9901026 IEHK2017 part 1,58,2025-03-17,2025-03-21,REL  PRC  BCRQ MACM SETC
100035124,S9992442,"SUB 2/3 NBK, Clinic,Module 2,Consumables",5,2025-03-14,2025-03-21,REL  PRC  BCRQ MACM SETC
100034003,S9901042,"IEHK 2024,Basic Equipment UNIT",800,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034017,S9901042,"IEHK 2024,Basic Equipment UNIT",800,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034412,S9999989,prepack 3 system-wise (not physical),400,2025-03-24,2025-03-28,REL  PRC  MANC SETC
100034413,S9999989,prepack 3 system-wise (not physical),326,2025-03-24,2025-03-28,REL  PRC  MANC SETC
100034436,S9999994,Sub 2/10 Obstetric S9908300(i) part 2,60,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034500,S9999974,Sub 10/10 Obstetric S9908300 part 10-42,22,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034504,S9999976,Sub 7/10 Obstetric S9908300(i) part 7,31,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034608,S9999124,AWD Periphery kit Drug S9903004,33,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034624,S9991229,"PP 9/9 F. SUB 2/5 F. IEHK2017,medicines",66,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034626,S9935090,"Syria Paediatric Kit, 2019",180,2025-03-24,2025-03-28,REL  PRT  PRC  BCRQ MACM SETC
100034665,S9910004,"Surg.inst.,suture /SET",1200,2025-03-24,2025-03-28,REL  PRC  MANC SETC
100034739,S9992458,"SUB 5/6 NBK, Clinic, Module 3, Equipment",50,2025-03-24,2025-03-28,REL  PRC  MANC SETC
100034740,S9992457,"SUB 6/6 NBK, Clinic, Module 3, Equipment",50,2025-03-24,2025-03-28,REL  PRC  MANC SETC
100034750,S9999987,Prepack for ECD Kits  2016,800,2025-03-24,2025-03-28,REL  PRC  MANC SETC
100034759,S9992441,"SUB 1/3 NBK, Clinic,Module 2,Consumables",54,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034760,S9992442,"SUB 2/3 NBK, Clinic,Module 2,Consumables",4,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034778,S9901048,"IEHK 2024,Suppl. Malaria UNIT",40,2025-03-24,2025-03-28,REL  PRC  BCRQ MACM SETC
100034803,S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",900,2025-03-24,2025-03-28,REL  PRC  BCRQ MACM SETC
100034836,S9991225,"PP 5/9 F. SUB 2/5 F.  IEHK2017,medicines",57,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034838,S9991229,"PP 9/9 F. SUB 2/5 F. IEHK2017,medicines",36,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034937,S9999143,"PP 3/3 Periphery,Renewable",190,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034994,S9999986,Prepack for Recreation kits 2016,800,2025-03-24,2025-03-28,REL  PRC  MANC SETC
100035005,S9999133,"Sub 3/6 AWD Kit, Periphery kit,Logistics",100,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100035108,S9999124,AWD Periphery kit Drug S9903004,33,2025-03-24,2025-03-28,REL  PRC  BCRQ MACM SETC
100035109,S9999124,AWD Periphery kit Drug S9903004,33,2025-03-24,2025-03-28,REL  PRC  BCRQ MACM SETC
100035110,S9999124,AWD Periphery kit Drug S9903004,33,2025-03-24,2025-03-28,REL  PRC  BCRQ MACM SETC
100035111,S9999124,AWD Periphery kit Drug S9903004,33,2025-03-24,2025-03-28,REL  PRC  BCRQ MACM SETC
100035112,S9999124,AWD Periphery kit Drug S9903004,33,2025-03-24,2025-03-28,REL  PRC  BCRQ MACM SETC
100035125,S9999125,AWD Periphery kit Drug S9903004 sub 2/4,100,2025-03-24,2025-03-28,REL  PRC  BCRQ MANC SETC
100034035,S9901046,"IEHK 2024,Suppl Medicine Controlled UNIT",30,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034234,S9992432,"SUB 2/8 NBK, Clinic, Module 1, Medicines",25,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034435,S9999945,"Prepack 2/2 Obstetric,surgical kit,suppl",60,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034647,S9992467,"SUB 7/11 NBK,Hospital, Module 1, Medicin",8,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034735,S9992450,"PP 1/1 NBK, Clinic, Module 3, Equipment",50,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034809,S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",800,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034814,S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",900,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034834,S9991222,"PP 2/9 F. SUB 2/5 F.IEHK2017,medicines",58,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034868,S9902600,Clean Delivery Kit,17500,2025-03-31,2025-04-04,REL  DLV  PRC  BCRQ MANC SETC
100034891,S9991228,"PP 8/9 F. SUB 2/5 F. IEHK2017,medicines",258,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034938,S9999137,PP 1/3 (old 1/7)Periphery Renew S9903003,183,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034951,S9991125,"IEHK2017,kit,suppl.1-medicines S9901026",22,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100034985,S9991125,"IEHK2017,kit,suppl.1-medicines S9901026",36,2025-03-31,2025-04-04,REL  PRC  BCRQ MANC SETC
100035047,S9999933,Prepack 1/1 School in a Bag,900,2025-03-31,2025-04-04,REL  PRC  MANC SETC
100035067,S9902460,"NBK, Hospital, Module 1, Medicines",5,2025-03-31,2025-04-04,REL  PRC  BCRQ MACM SETC
100035073,S9935084,Syria Emergency School in a Carton Kit,574,2025-03-31,2025-04-04,REL  PRC  MANC SETC
100035074,S9999979,"E-p for S9935095, 84, 12, 98",574,2025-03-31,2025-04-04,REL  PRC  MACM SETC
100035113,S9999124,AWD Periphery kit Drug S9903004,33,2025-03-31,2025-04-04,REL  PRC  BCRQ MACM SETC
100035114,S9999124,AWD Periphery kit Drug S9903004,33,2025-03-31,2025-04-04,REL  PRC  BCRQ MACM SETC
100033061,S9902700,"Clean Delivery Kit, BOX-50",90,2025-04-07,2025-04-11,REL  DLV  PRC  BCRQ MANC SETC
100034004,S9901044,"IEHK 2024,Suppl. Medicine Inj. UNIT",1,2025-04-07,2025-04-11,REL  PRC  BCRQ MANC SETC
100034037,S9901047,"IEHK 2024,Suppl Medicine Cold Chain UNIT",10,2025-04-07,2025-04-11,REL  PRC  BCRQ MANC SETC
100034530,S9992413,"SUB 3/3 NBK,Community,Part B,Module1,Med",119,2025-04-07,2025-04-11,REL  PRC  BCRQ MANC SETC
100034791,S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",900,2025-04-07,2025-04-11,REL  PRC  BCRQ MANC SETC
100032406,S9992583,"SUB 6/17 NBK, Hospital, Module 3, Equ",4,2025-04-28,2025-05-02,REL  PRC  MANC SETC
