#,Master kit,Unnamed: 2,Kit,Kit  Description,Sub kit,Sub kit description,Unnamed: 7,Unnamed: 8
1,S9901040,Master,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",,,,
2,S9901040,Subkit,S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,,
3,S9901040,Prepak,S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",,,,
4,S9901040,Subkit,S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,,
5,S9901040,Prepak,S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",,,,
6,S9901040,Subkit,S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,,
7,S9901041,Master,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,
8,S9901042,Master,S9901042,"IEHK 2024,Basic Equipment UNIT",,,,
9,S9901042,Prepak,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",,,,
10,S9901043,Master,S9901043,"IEHK 2024,Suppl. Medicine Oral UNIT",,,,
11,S9901043,Subkit,S9991141,"SUB 1/4 IEHK 2024,Suppl.Medicine Oral",,,,
12,S9901043,Subkit,S9991142,"SUB 2/4 IEHK 2024,Suppl.Medicine Oral",,,,
13,S9901043,Subkit,S9991143,"SUB 3/4 IEHK 2024,Suppl.Medicine Oral",,,,
14,S9901043,Subkit,S9991144,"SUB 4/4 IEHK 2024,Suppl.Medicine Oral",,,,
15,S9901045,Master,S9901045,"IEHK 2024,Suppl. Med Mental Health UNIT",,,,
16,S9901047,Master,S9901047,"IEHK 2024,Suppl Medicine Cold Chain UNIT",,,,
17,S9901048,Master,S9901048,"IEHK 2024,Suppl. Malaria UNIT",,,,
18,S9901048,Subkit,S9991048,"IEHK 2024,Suppl. Malaria UNIT SUB 1/4",,,,
19,S9901048,Subkit,S9991049,"IEHK 2024,Suppl. Malaria UNIT SUB 2/4",,,,
20,S9901048,Subkit,S9991050,"IEHK 2024,Suppl. Malaria UNIT SUB 3/4",,,,
21,S9901048,Subkit,S9991051,"IEHK 2024,Suppl. Malaria UNIT SUB 4/4",,,,
