#,Master Kit,Master Kit  Description,Sub kit,Sub kit description,Prepack,Prepack Description,Item Number,Component number,Object description,Comp. Qty (CUn),Component unit,Batch management
1,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,,S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",0.000,,
2,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,0010,S9010633,"Double-wall ctn.80x40x33 cm, 0.106 m3",1,EA,
3,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,0020,S0512015,"Bandage,elastic,7.5cmx5m,roll",150,EA,X
4,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,0030,S0523015,"Compress,gauze,10x10cm,n/ster/PAC-100",5,EA,X
5,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,0040,S1555964,Paracetamol 500mg tabs/PAC-10x10,30,PAC,X
6,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,0050,S1561120,ORS low osm. 20.5g/1L CAR/10x10,2,BOX,X
7,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,0060,S1568201,Permethrin 5% cream/TBE 30g,20,EA,X
8,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,0070,S1580020,Zinc 20mg tablets/PAC-10x10,10,PAC,X
9,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,0080,S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",1,EA,X
10,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",,,0090,S1523091,USB flash drive -IEHK 2024 documentation,1,BOX,
11,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,,S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",0.000,,
12,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,0010,S9008034,"Double-wall ctn.60x40x33.3 cm, 0.08 m3",1,EA,
13,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,0020,S0145575,"Health card,white/BOX-500",1,BOX,
14,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,0030,S0519000,"Cotton wool,500g,roll,non-ster",2,EA,X
15,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,0040,S1531505,Chlorhexidine conc. sol. 5%/BOT-1000ml,1,BOT,X
16,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,0050,S0969025,"Gloves,exam,nitrile,pwdfree,M,BOX-100",2,EA,X
17,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,0060,S1533010,Ibuprofen 200mg tabs/PAC 10x10,60,EA,X
18,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,0070,S1553110,Povidone iodine sol 10%/BOT-200ml,12,BOT,X
19,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",,,0080,S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",1,EA,X
20,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,,S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",0.000,,
21,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,0010,S9010633,"Double-wall ctn.80x40x33 cm, 0.106 m3",1,EA,
22,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,0020,S1550030,Iron 60mg + Folic ac. 400mcg tab/PAC-100,40,PAC,X
23,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,0030,S0969026,"Gloves,exam,nitrile,pwdfree,L,BOX-100",2,EA,X
24,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,0040,S0145576,"Sachet,health card,160x220mm/BOX-500",1,BOX,
25,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,0050,S1505043,Amoxicillin 250mg disp.tab/PAC-(10x10),30,PAC,X
26,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,0060,S1505075,Amoxicillin 500mg disp.tab/PAC-100,10,PAC,X
27,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,0070,S1521012,Erythromycin 0.5% eye ointment/TBE-3.5g,50,TBE,X
28,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991043,"IEHK 2024,Basic Medicine&Renewabl SUB3/3",,,0080,S0552003,Soap box,1,EA,
29,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",,S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",0.000,,
30,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",0010,S8941505,"Pre-pack Carton, 32x24x20 cm, 0.015 m3",1,EA,
31,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",0020,S0512025,"Bandage,gauze,8cmx4m,roll",50,EA,X
32,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",0030,S0552000,"Soap,toilet,bar,approx.100-110g,wrapped",10,EA,
33,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",0040,S1504008,Omeprazole 20mg capsules (e/c) PAC/10x10,5,PAC,X
34,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991041,"IEHK 2024,Basic Medicine&Renewabl SUB1/3",S9991044,"PP 1/2 IEHK 2024,Basic Medicine&Renewabl",0050,S1555370,Albendazole 400mg chewable tabs/PAC-100,2,PAC,X
35,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",,S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",0.000,,
36,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",0010,S8941505,"Pre-pack Carton, 32x24x20 cm, 0.015 m3",1,EA,
37,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",0020,S0503015,"Medical tape,2.5cmx5m,roll",30,EA,X
38,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",0030,S1515060,Miconazole nitrate cream 2%/TBE-30g,20,TBE,X
39,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",0040,S0846022,"Bag,drugs,plastic,6x8,pictogram/PAC-1000",2,PAC,
40,S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",S9991042,"IEHK 2024,Basic Medicine&Renewabl SUB2/3",S9991045,"PP 2/2 IEHK 2024,Basic Medicine&Renewabl",0050,S1555979,Paracetamol 100mg disp. tabs/PAC-100,10,PAC,X
41,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,,0010,S1300074,Artem 20mg+Lumef120mg disp tabs/6/PAC-30,5,PAC,X
42,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,,0020,S1300075,Artem20mg+Lumef120mg disp tabs/12/PAC-30,1,PAC,X
43,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,,0030,S1300062,Artemeth20mg+Lumefan120mg tabs/18/PAC-30,1,PAC,X
44,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,,0040,S1300063,Artemeth20mg+Lumefan120mg tabs/24/PAC-30,6,PAC,X
45,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,,0050,S0584613,"BiolineMalAgPf/PanNonSafetyLancet,kit/25",76,EA,X
46,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,,0060,S0782379,"Safety box f.used syrg/ndl5L,Smur/BOX-25",1,BOX,X
47,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,,0070,S0845220,"Bag,biohazard,yellow,20L,BOX-100",1,BOX,X
48,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,,0080,S9019200,"Double-wall ctn.100x40x48cm, 0.192 m3",1,EA,
49,S9901041,"IEHK 2024,Basic Malaria UNIT",,,,,0090,S1523091,USB flash drive -IEHK 2024 documentation,1,BOX,
50,S9901042,"IEHK 2024,Basic Equipment UNIT",,,,,0010,S9005301,"Double-wall ctn.50x30x35 cm, 0.053 m3",1,EA,
51,S9901042,"IEHK 2024,Basic Equipment UNIT",,,,,0200,S0921600,"Bottle,plastic,1L,w/screw cap",3,EA,
52,S9901042,"IEHK 2024,Basic Equipment UNIT",,,,,0210,S5007315,"Bucket,HDPE,with lid,14 l",2,EA,
53,S9901042,"IEHK 2024,Basic Equipment UNIT",,,,,0220,S5007312,"Water-cont,LDPE,10l,collapsibl.,w tap",1,EA,
54,S9901042,"IEHK 2024,Basic Equipment UNIT",,,,,0230,S4410021,"Book,exercise,A4,ruled-8mm,96 pgs/PAC-10",1,PAC,
55,S9901042,"IEHK 2024,Basic Equipment UNIT",,,,,0240,S0538101,"Notepad,plain,100 sheets,A6 size/PAC-10",1,PAC,
56,S9901042,"IEHK 2024,Basic Equipment UNIT",,,,,0250,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",1,EA,X
57,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0.000,,
58,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0010,S8941501,"Pre-pack Carton, 32x24x10 cm, 0.007 m3",1,EA,
59,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0020,S0237000,"Bowl,stainless steel,180ml",1,EA,
60,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0030,S0514000,"Brush,hand,scrubbing,plastic",2,EA,
61,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0040,S0773500,"Scissors,Deaver,140mm,str,s/b",2,EA,
62,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0050,S9910005,"Surg.inst.,dressing /SET",2,SET,
63,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0060,S0481056,"Thermometer, clinical, digital, no Li",5,EA,X
64,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0070,S0279000,"Tray,dressing,ss,300x200x30mm",1,EA,
65,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0080,S4460005,"Pen,ball-point,blue/BOX-10",1,BOX,
66,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0090,S0145620,"MUAC,Child 11.5 Red,PAC-50,English",1,PAC,
67,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0100,S0572510,"Blanket,survival,220x140cm",2,EA,
68,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0110,S0921602,"Counting tray, triangular, round tablets",1,EA,
69,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0120,S0211000,"Basin,kidney,stainless steel,825ml",1,EA,
70,S9901042,"IEHK 2024,Basic Equipment UNIT",,,S9991046,"PP1 IEHK 2024,Basic Equipment UNIT",0130,S0145590,"User feedback sheet, IEHK",1,EA,
