Order,Destination,Ship to party,Pack date,No of kits/sets,Priority,Incomplete,Shipping point,Background,Foreground,Sampling,Release,Prepick,Bagging,Miniload,SL/Bulk,Long line A,Long line B,QA label,Virtual pack,Haz. Material
50165783,Pakistan,X33001,21.06.2023,--,1,No,1000,,C,,C,C,,,C,,,,C,No
50166405,Ukraine,X44106,11.07.2023,--,1,No,1000,,C,,C,C,,,C,,,,C,No
50166693,DR of the Congo,X09937,17.07.2023,--,1,No,1000,,C,,C,C,,,C,,,,C,No
50166697,Ukraine,X44106,06.08.2023,--,1,No,1002,,C,,C,C,,,C,,,,C,Yes
50178252,Palestine,X705B3,26.09.2024,--,1,No,1000,C,,,C,C,,,C,,,,,Yes
50180207,South Sudan,X40402,21.11.2024,--,1,No,1002,C,,,C,C,,,C,,,,C,No
50180437,South Sudan,X40402,30.11.2024,--,1,No,1002,,C,,C,,,,C,,,,,No
50181998,Thailand,X420B6,06.02.2025,--,1,No,1000,C,,,C,C,,,C,,,,,Yes
50182332,DR of the Congo,X09903,24.02.2025,--,1,No,1003,C,,,C,C,,,C,,,,,Yes
50182345,Palestine,X70521,24.02.2025,--,1,No,1003,C,,,C,C,,,C,,,,,No
50182680,Myanmar,X060D8,17.03.2025,--,1,No,1000,C,,,C,C,,,C,,,,C,No
50182780,Sierra Leone,X390H0,19.03.2025,--,1,No,1000,,C,,C,C,,,C,,,,C,No
50182821,South Sudan,X404H0,24.03.2025,--,1,No,1000,,C,,C,,,,C,,,,,Yes
50182813,Somalia,X39219,16.03.2025,--,1,No,1000,C,,,C,C,,,C,,,,C,No
100035113,Denmark,X99994,03.04.2025,33,1,No,1999,C,,,C,C,,,A,,,,,No
50182845,Venezuela,X47102,25.03.2025,--,1,No,1000,C,,,C,C,,,C,,,,C,No
50182903,Solomon Islands,X63101,27.03.2025,--,1,No,1000,C,,,C,C,,,C,,,,,No
50182921,Pakistan,X33027,30.03.2025,--,1,No,1000,C,,,C,C,,,B,,,,C,Yes
50183004,Haiti,X18305,24.03.2025,--,1,No,1000,C,,,C,C,,,C,,,,,No
50183038,Mozambique,X68901,12.04.2025,--,1,No,1002,C,,,C,C,,,C,,,,C,No
100035017,Denmark,X99994,27.03.2025,4500,1,No,1999,C,,,C,C,,,B,,,,,No
50183045,Mozambique,X68901,26.03.2025,--,1,No,1002,C,,,C,C,,,C,,,,C,No
50183048,Mozambique,X68901,26.03.2025,--,1,No,1002,C,,,C,C,,,C,,,,,No
50183046,Mozambique,X68901,26.03.2025,--,1,No,1002,C,,,C,C,,,C,,,,,No
50183049,Mozambique,X68901,26.03.2025,--,1,No,1002,C,,,C,C,,,C,,,,C,Yes
50183105,Nigeria,X321F6,24.03.2025,--,1,No,1003,C,,,C,C,,,C,,,,C,No
50183117,Niger (the),X31802,06.04.2025,--,1,No,1000,C,,,C,C,,,B,,,,,No
50183119,Sudan (the),X40202,28.03.2025,--,1,No,1002,C,,,C,C,,,C,,,,C,No
50183128,Lebanon,X24902,30.03.2025,--,1,No,1003,C,,,C,C,,,C,,,,,No
100034925,Denmark,X99994,03.04.2025,600,1,No,1999,,C,,C,C,,,,,B,,,No
50183160,Chad,X08105,29.03.2025,--,1,No,1002,C,,,C,C,,,C,,,,C,No
50183165,Sudan (the),X40202,01.04.2025,--,1,No,1003,C,,,C,C,,,C,,,,C,No
50183180,Türkiye,X43523,29.03.2025,--,1,No,1002,,C,,C,,,,B,,,,C,Yes
50183207,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,,,,C,,,,,Yes
50183213,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,,Yes
50183210,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,,Yes
50183191,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,C,No
50183221,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,,No
50183224,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,,Yes
50183225,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,C,No
50183226,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,C,No
50183227,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,C,No
50183229,Myanmar,X06002,29.03.2025,--,1,No,1001,C,,,C,C,,,C,,,,,No
