Delivery / KIT order,# of sets / kits,# SU pre-pick,Shipment,Priority,Shipping point,Destination,Workstation,Status,Quantity,Incomplete
50183045,--,4,SEA,1,1002,Mozambique,HBWPICK2,--,--,No
50183048,--,6,SEA,1,1002,Mozambique,HBWPICK2,--,--,No
50183046,--,1,SEA,1,1002,Mozambique,HBWPICK2,--,--,No
50183049,--,5,SEA,1,1002,Mozambique,HBWPICK2,--,--,No
100034691,400,8,SEA,1,1999,Denmark,HBWPICK1,--,--,No
100034942,121,3,SEA,1,1999,Denmark,HBWPICK1,--,--,No
50183047,--,2,SEA,2,1002,Sudan (the),HBWPICK2,--,--,No
50183053,--,4,SEA,2,1002,Sudan (the),HBWPICK2,--,--,No
50183052,--,2,SEA,2,1002,Sudan (the),HBWPICK2,--,--,No
50183054,--,4,SEA,2,1002,Sudan (the),HBWPICK2,--,--,No
50183055,--,2,SEA,2,1002,Sudan (the),HBWPICK2,--,--,No
50183056,--,3,SEA,2,1002,Sudan (the),HBWPICK2,--,--,No
50183051,--,6,SEA,5,1002,Sudan (the),HBWPICK2,--,--,No
50183032,--,11,SEA,5,1000,Central Afr.Rep,HBWPICK2,--,--,No
100034985,36,8,SEA,5,1999,Denmark,HBWPICK1,--,--,No
100034951,22,4,SEA,5,1999,Denmark,HBWPICK1,--,--,No
100033364,14,3,SEA,5,1999,Denmark,HBWPICK1,--,--,No
100035124,5,6,SEA,5,1999,Denmark,HBWPICK1,--,--,No
100035067,5,6,SEA,5,1999,Denmark,HBWPICK1,--,--,No
100035017,4500,7,SEA,5,1999,Denmark,HBWPICK1,--,--,No
