Shipments,# of SUs,# of HUs,Transport,Destination,Status,Weight [kg],Volume [m3],Pallet height [cm],Pallet type ,Loaded,(Ship) bin,HBW,Blocked by supervisor
70156187,114,114,Sea,Denmark,A,42400,122.64,--,114EUR,0,0,114,Yes
70158405,130,135,Sea,Somalia,A,37544,126.168,--,1US/129EUR,0,0,130,No
70158509,47,54,Sea,Haiti,A,9674,46.476,--,18US/29EUR,0,0,47,No
70158451,46,49,Sea,Cuba,A,8752,57.84,--,38US/8EUR,0,0,46,No
70158662,30,33,Sea,Venezuela,A,3648,31.212,--,9US/21EUR,0,0,30,No
70158124,150,162,Sea,Yemen,A,26195,147.384,--,48US/102EUR,0,0,150,No
70158534,95,103,Sea,Haiti,A,27317,100.476,--,54US/41EUR,0,0,95,No
70158825,4,5,Sea,Cuba,A,340,2.928,--,4EUR,0,0,4,No
70158881,11,17,Sea,Cuba,B,1403,7.68,--,11EUR,0,0,11,No
70158882,8,14,Sea,Cuba,A,1479,7.2,--,8EUR,0,0,8,No
70158935,236,264,Sea,Yemen,A,56742,222.432,--,41US/195EUR,0,0,236,No
70158403,19,27,Sea,DR of the Congo,A,4644,15.792,--,19EUR,0,0,19,No
70158535,16,42,Sea,Micronesia,B,1458,10.992,--,2US/14EUR,0,0,16,No
70158954,121,121,Sea,Mozambique,B,23466,126.78,--,121US,61,0,60,No
70158877,14,24,Sea,DR of the Congo,B,1663,13.068,--,9US/5EUR,0,0,14,No
70158539,13,15,Sea,Comoros,A,2897,11.952,--,13EUR,0,0,13,No
70158951,14,14,Sea,Libya,B,3153,11.172,--,11US/3EUR,0,0,14,No
70158995,95,95,Sea,Chad,B,43665,125.64,--,95US,0,0,95,No
70158800,2,20,Air,Burkina Faso,C,278,1.776,--,2EUR,2,0,0,No
70158853,1,2,Air,Equatorial Guin,C,34,0.384,--,1EUR,1,0,0,No
70158978,1,2,Air,Burundi,C,41,0.624,--,1EUR,1,0,0,No
70158991,35,39,Sea,South Sudan,B,7359,35.232,--,6US/29EUR,0,0,35,No
70158638,18,21,Sea,South Sudan,B,3203,15.78,--,6US/12EUR,0,0,18,No
