PO No,Forwarder Name,PO Created By,Vendor Code,Vendor Name,Vendor Country Name,Consignee Code,Incoterm Origin,PO Delivery Date,PO Item,Material No,Material Short Text,PO Quantity,Total GR Qty,PO Line Process,PO Line Status
68037565,,AWEIS,1900019065,Qingdao Narising International Trad,China,0001000886,,2024-05-24,10,S0503020,"Medical tape,perforated,10cmx5m,roll",57600,-57600,NONE,CLOSED
68037566,,AWEIS,1900019065,Qingdao Narising International Trad,China,0001000886,,2024-05-24,10,S0523055,"Compress,gauze,10x10cm,ster/PAC-5",272160,-272160,NONE,CLOSED
68037568,,AWEIS,1900019065,Qingdao Narising International Trad,China,0001000886,,2024-05-24,10,S0523057,"Surgical(Laparotomy)Pads,sterile,/PAC-5",6445,-6445,NONE,CLOSED
68037706,,AOTTESLEV,1900010131,Nutrition International,Canada,,DAP,2025-12-31,10,S7800002,"Retinol 200,000IU soft gel.caps/PAC-500",605512,597361,NONE,OPEN
68037706,,AOTTESLEV,1900010131,Nutrition International,Canada,,DAP,2025-12-31,20,S7800003,"Retinol 100,000IU soft gel.caps/PAC-100",929243,682487,NONE,OPEN
68037366,,TNIELSEN,1900012918,Galentic Pharma (India) Pvt.Ltd,India,X12001,DAP,2024-08-19,10,S1515060,Miconazole nitrate cream 2%/TBE-30g,99999,97920,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-09-12,10,S4410031,"Book,exercise,A4,ruled,96pgs,ARABIC/P-10",12800,12800,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-09-12,20,S4410030,"Book,exercise,A5,sqre,48 pgs,ARABIC/P-20",30720,30720,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-09-12,30,S4410040,"Book,exercise,A5,ruled,48pgs,ARABIC/P-20",30720,30720,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-09-12,40,S5001000,"Bag,UNICEF,blue polyester,360x230x610mm",13500,13500,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-09-12,50,S4416506,Duster/wiper for Blackboard,40320,40320,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-09-12,60,S2657209,"A1 Manila paper,assorted colors/PAC-80",2142,2142,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-09-12,70,S4416503,"Blackboard, double-sided, 1160 x 760 mm",1040,1040,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-10-10,80,S4410031,"Book,exercise,A4,ruled,96pgs,ARABIC/P-10",12800,12800,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-10-10,90,S4410030,"Book,exercise,A5,sqre,48 pgs,ARABIC/P-20",31744,31744,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-10-10,100,S4410040,"Book,exercise,A5,ruled,48pgs,ARABIC/P-20",31744,31744,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-10-10,110,S5001000,"Bag,UNICEF,blue polyester,360x230x610mm",13500,13500,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-10-10,120,S4416506,Duster/wiper for Blackboard,48384,48384,LTA,CLOSED
68037834,Kuehne + Nagel A/S,STAHERISAEID,1900000422,BIAB International AB,Sweden,X12010,FCA,2024-10-10,130,S5001300,"Bag,school,UNICEF,ARABIC,400x270x100mm",38400,38400,LTA,CLOSED
68037867,Kuehne + Nagel A/S,STAHERISAEID,1900015781,JINHUA LONGTAI IMP EXP TRADING,China,X12010,FCA,2024-09-25,10,S4460005,"Pen,ball-point,blue/BOX-10",170100,170100,LTA,CLOSED
68037867,Kuehne + Nagel A/S,STAHERISAEID,1900015781,JINHUA LONGTAI IMP EXP TRADING,China,X12010,FCA,2024-09-25,20,S4460009,"Pen,ball-point,green/BOX-10",170100,170100,LTA,CLOSED
68037867,Kuehne + Nagel A/S,STAHERISAEID,1900015781,JINHUA LONGTAI IMP EXP TRADING,China,X12010,FCA,2024-09-25,30,S8760025,"Decal,UNICEF,round,diameter 205mm",320000,320000,LTA,CLOSED
68037867,Kuehne + Nagel A/S,STAHERISAEID,1900015781,JINHUA LONGTAI IMP EXP TRADING,China,X12010,FCA,2024-09-25,40,S2795804,"Play Parachute, 3.65 meters, with bag",31744,31744,LTA,CLOSED
68037808,Kuehne + Nagel A/S,JFRANDSEN,1900000444,Select Sport A/S,Denmark,X12010,FCA,2024-08-14,10,S2731220,"Hard surface Football, Size 4",10560,10560,LTA,CLOSED
