Order,Material Number,Material description,Order quantity (GMEIN),Basic start date,Basic finish date,GOS Text display for CPH production orde,Basic end date
100035977,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",487,2026-01-01,9/1/2026,REL  PRT  PRC  BCRQ MANC SETC,2026-01-09
100036133,S9999883,Subkit 3/6 Obstetric 3-renew.S9908302,100,2026-01-01,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100036571,S9998505,"Sub 4/7 SD IMCI Med. kit, 2016",64,2026-01-01,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100036650,S9992476,"SUB 7/10 NBK, Hospital,Module 2,Consum",3,2026-01-01,9/1/2026,REL  DLV  PRC  BCRQ MANC SETC,2026-01-09
100036712,S9992587,"SUB 12/12 NBK, Hospital, Module 3, Equ",3,2026-01-01,9/1/2026,REL  DLV  PRC  MANC SETC,2026-01-09
100036759,S9992586,"SUB 2/12 NBK, Hospital, Module 3, Equ",1,2026-01-01,9/1/2026,REL  PRC  MANC SETC,2026-01-09
100036895,S9992478,"SUB 9/10 NBK, Hospital,Module 2,Consum",2,2026-01-01,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100036911,S9992481,"SUB 1/12 NBK, Hospital, Module 3, Equ",1,2026-01-01,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100036913,S9999899,"Subkit 2/2 Midwifery ,3-renew S9902219",300,2026-01-01,9/1/2026,REL  PRC  BCRQ MACM SETC,2026-01-09
100036936,S9999991,Education prepack 2 for new SIB  (I),800,2026-01-01,9/1/2026,REL  PRC  MANC SETC,2026-01-09
100037025,S9992490,"SUB 5/12 NBK, Hospital, Module 3, Equ",1,2026-01-01,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037027,S9992488,"SUB 6/12 NBK, Hospital, Module 3, Equ",1,2026-01-01,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037031,S9992583,"S9902480  NBK, Hospital,Module 3, S 8/12",1,2026-01-01,9/1/2026,REL  PRC  MANC SETC,2026-01-09
100037033,S9992588,"S9902480  NBK, Hospital,Module 3, S 9/12",1,2026-01-01,9/1/2026,REL  PRC  MANC SETC,2026-01-09
100037035,S9992489,"S9902480  NBK, Hospital,Module 3, S10/12",1,2026-01-01,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037103,S7998051,"ECHO IEHK 2024,Suppl Equipment UNIT S1/2",10,2026-01-01,9/1/2026,REL  PRC  BCRQ MACM SETC,2026-01-09
100037109,S7991147,"ECHO IEHK 2024,Suppl Med Inj UNIT S 3/5",10,2026-01-01,9/1/2026,REL  PRC  BCRQ MACM SETC,2026-01-09
100035977,S9999592,"2/3PP Syria Paediatric Kit,2019 S9935090",487,2026-01-05,9/1/2026,REL  PRT  PRC  BCRQ MANC SETC,2026-01-09
100036133,S9999883,Subkit 3/6 Obstetric 3-renew.S9908302,100,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100036571,S9998505,"Sub 4/7 SD IMCI Med. kit, 2016",64,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100036650,S9992476,"SUB 7/10 NBK, Hospital,Module 2,Consum",3,2026-01-05,9/1/2026,REL  DLV  PRC  BCRQ MANC SETC,2026-01-09
100036712,S9992587,"SUB 12/12 NBK, Hospital, Module 3, Equ",3,2026-01-05,9/1/2026,REL  DLV  PRC  MANC SETC,2026-01-09
100036759,S9992586,"SUB 2/12 NBK, Hospital, Module 3, Equ",1,2026-01-05,9/1/2026,REL  PRC  MANC SETC,2026-01-09
100036895,S9992478,"SUB 9/10 NBK, Hospital,Module 2,Consum",2,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100036911,S9992481,"SUB 1/12 NBK, Hospital, Module 3, Equ",1,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100036913,S9999899,"Subkit 2/2 Midwifery ,3-renew S9902219",300,2026-01-05,9/1/2026,REL  PRC  BCRQ MACM SETC,2026-01-09
100036936,S9999991,Education prepack 2 for new SIB  (I),800,2026-01-05,9/1/2026,REL  PRC  MANC SETC,2026-01-09
100037025,S9992490,"SUB 5/12 NBK, Hospital, Module 3, Equ",1,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037027,S9992488,"SUB 6/12 NBK, Hospital, Module 3, Equ",1,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037031,S9992583,"S9902480  NBK, Hospital,Module 3, S 8/12",1,2026-01-05,9/1/2026,REL  PRC  MANC SETC,2026-01-09
100037033,S9992588,"S9902480  NBK, Hospital,Module 3, S 9/12",1,2026-01-05,9/1/2026,REL  PRC  MANC SETC,2026-01-09
100037035,S9992489,"S9902480  NBK, Hospital,Module 3, S10/12",1,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037103,S7998051,"ECHO IEHK 2024,Suppl Equipment UNIT S1/2",10,2026-01-05,9/1/2026,REL  PRC  BCRQ MACM SETC,2026-01-09
100037109,S7991147,"ECHO IEHK 2024,Suppl Med Inj UNIT S 3/5",10,2026-01-05,9/1/2026,REL  PRC  BCRQ MACM SETC,2026-01-09
100037120,S9998505,"Sub 4/7 SD IMCI Med. kit, 2016",64,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037125,S7991042,"ECHO IEHK 2024,Basic Med&Renewable S 3/3",100,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037142,S9935011,"School-in-a-carton,40 students",1600,2026-01-05,9/1/2026,REL  MSPT PRC  SETC,2026-01-09
100037149,S9992430,"SUB 16/16 NBK,Hospital,Module1 Med 16-48",2,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037163,S7991053,"ECHO IEHK 2024,Suppl Renewable UNIT S2/6",10,2026-01-05,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100037254,S9999124,AWD Periphery kit Drug S9903004,33,2026-01-05,9/1/2026,REL  PRC  CSER BCRQ MACM SETC,2026-01-09
100037255,S9999124,AWD Periphery kit Drug S9903004,33,2026-01-05,9/1/2026,REL  PRC  CSER BCRQ MACM SETC,2026-01-09
100037256,S9999124,AWD Periphery kit Drug S9903004,33,2026-01-05,9/1/2026,REL  PRC  CSER BCRQ MACM SETC,2026-01-09
100037257,S9999124,AWD Periphery kit Drug S9903004,19,2026-01-05,9/1/2026,REL  PRC  CSER BCRQ MACM SETC,2026-01-09
100037299,S9996827,"Yemen PHC kit 2025, Supp. Medicines s5/5",330,2026-01-05,9/1/2026,REL  PRC  BCRQ MACM SETC,2026-01-09
100036479,S9999143,"PP 3/3 Periphery,Renewable",15,2026-01-06,9/1/2026,REL  PRC  BCRQ MANC SETC,2026-01-09
100036583,S9908302,"Obstetric,surgical kit,suppl.3-renewable",100,2026-01-12,16/01/2026,,2026-01-16
100036752,S9901041,"IEHK 2024,Basic Malaria UNIT",130,2026-01-12,16/01/2026,,2026-01-16
100036837,S9992451,"SUB 1/5 NBK, Clinic, Module 3, Equipment",10,2026-01-12,16/01/2026,,2026-01-16
100036888,S9992414,"PP 1/2 NBK, Hospital,Module 2,Consum",5,2026-01-12,16/01/2026,,2026-01-16
100036889,S9992415,"PP 2/2 NBK, Hospital,Module 2,Consum",5,2026-01-12,16/01/2026,,2026-01-16
100036919,S9902219,"Midwifery kit,3-renewable",300,2026-01-12,16/01/2026,,2026-01-16
100036995,S9935064,"Early Childhood Dvt (ECD) kit, 2016",800,2026-01-12,16/01/2026,,2026-01-16
100037021,S9992483,"SUB 3/12 NBK, Hospital, Module 3, Equ",1,2026-01-12,16/01/2026,,2026-01-16
100037085,S9998507,"Sub 6/7 SD IMCI Med. kit, 2016",119,2026-01-12,16/01/2026,,2026-01-16
100037128,S9996800,"SUB 1/15 Yemen PHC kit 2025, Basic Medi",700,2026-01-12,16/01/2026,,2026-01-16
100037182,S9992443,"SUB 3/3 NBK, Clinic,Module 2,Consumables",4,2026-01-12,16/01/2026,,2026-01-16
100037184,S9999989,prepack 3 system-wise (not physical),800,2026-01-12,16/01/2026,,2026-01-16
100037185,S9999989,prepack 3 system-wise (not physical),800,2026-01-12,16/01/2026,,2026-01-16
100037207,S9996818,"Yemen PHC kit 2025, Consumables sub 3/3",700,2026-01-12,16/01/2026,,2026-01-16
100037322,S9996823,"Yemen PHC kit 2025, Supp. Medicines s1/5",480,2026-01-12,16/01/2026,,2026-01-16
100035915,S9999490,Sub 4/4 SD Primary Healthcare2016,724,2026-01-12,16/01/2026,REL  PRC  BCRQ MACM SETC,2026-01-16
100036475,S9975020,First aid kit class A,780,2026-01-12,16/01/2026,REL  PRC  BCRQ MACM SETC,2026-01-16
100036633,S9999975,Sub 4/10 Obstetric S9908300(i) part 4,55,2026-01-12,16/01/2026,REL  PRC  BCRQ MANC SETC,2026-01-16
100036734,S9999593,"3/3PP Syria Paediatric Kit,2019 S9935090",178,2026-01-12,16/01/2026,REL  PRT  PRC  BCRQ MANC SETC,2026-01-16
100036794,S9991148,"SUB 4/5 IEHK 2024,Suppl. Medicine Inj.",125,2026-01-12,16/01/2026,REL  PRC  BCRQ MACM SETC,2026-01-16
100036796,S9991151,"PP 2/2 LL IEHK 2024,Suppl. Medicine Inj.",250,2026-01-12,16/01/2026,REL  PRC  BCRQ MANC SETC,2026-01-16
100036918,S9999898,"Subkit 1/2 Midwifery ,3-renew S9902219",300,2026-01-12,16/01/2026,REL  PRC  BCRQ MACM SETC,2026-01-16
100037082,S7991040,"ECHO IEHK 2024,Basic Med&Renewable S 1/3",100,2026-01-12,16/01/2026,REL  PRC  BCRQ MACM SETC,2026-01-16
100037088,S9999992,First Aid kit-prepack for S9975020   (I),780,2026-01-12,16/01/2026,REL  PRC  BCRQ MACM SETC,2026-01-16
100037090,S9975020,First aid kit class A,780,2026-01-12,16/01/2026,REL  PRC  BCRQ MANC SETC,2026-01-16
100037118,S9999505,"Sub 1/7 SD IMCI Med. kit, 2016",54,2026-01-12,16/01/2026,REL  PRC  BCRQ MANC SETC,2026-01-16
