kit_name,kit_description,kit_type,line_type
S7901040,"ECHO IEHK 2024,Basic Med&Renewable UNIT",master,
S7901044,"ECHO IEHK 2024,Suppl Med Inj UNIT",master,
S7901050,"ECHO IEHK 2024,Suppl Renewable UNIT",master,
S7901051,"ECHO IEHK 2024,Suppl Equipment UNIT",master,
S7903003,"ECHO AWD, Periphery kit, Renewable",master,
S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",master,
S9901041,"IEHK 2024,Basic Malaria UNIT",master,long line
S9901042,"IEHK 2024,Basic Equipment UNIT",master,long line
S9901043,"IEHK 2024,Suppl. Medicine Oral UNIT",master,
S9901044,"IEHK 2024,Suppl. Medicine Inj. UNIT",master,
S9901045,"IEHK 2024,Suppl. Med Mental Health UNIT",master,long line
S9901046,"IEHK 2024,Suppl Medicine Controlled UNIT",master,long line
S9901047,"IEHK 2024,Suppl Medicine Cold Chain UNIT",master,long line
S9901048,"IEHK 2024,Suppl. Malaria UNIT",master,
S9901049,"IEHK 2024,Suppl. PEP Unit",master,long line
S9901050,"IEHK 2024,Suppl. Renewable UNIT",master,
S9901051,"IEHK 2024,Suppl. Equipment UNIT",master,
S9902217,"Midwifery kit,1-drugs",master,
S9902219,"Midwifery kit,3-renewable",master,
S9902220,"Midwifery kit,suppl.1a-drugs",master,long line
S9902221,"Midwifery kit – equipment, 2",master,long line
S9902302,Nigeria Kit 2017,master,long line
S9902410,"NBK,Community,Part B, Module 1,Medicines",master,
S9902420,"NBK,Community,Part B, Module 2,Equipment",master,long line
S9902430,"NBK, Clinic, Module 1, Medicines",master,
S9902440,"NBK, Clinic, Module 2, Consumables",master,
S9902450,"NBK, Clinic, Module 3, Equipment",master,
S9902460,"NBK, Hospital, Module 1, Medicines",master,
S9902470,"NBK, Hospital, Module 2, Consumables",master,
S9902480,"NBK, Hospital, Module 3, Equipment",master,
S9902600,Clean Delivery Kit,master,long line
S9903000,"AWD, Community kit, Community Care",master,long line
S9903001,"AWD Kit, Periphery kit, Logistics Part",master,
S9903002,"AWD, Periphery kit, Equipment",master,long line
S9903003,"AWD, Periphery kit, Renewable",master,
S9903004,AWD Periphery kit Drug,master,
S9903005,AWD Community Kit Drug,master,long line
S9906706,Ethiopia Midwifery kit 3-renew,master,
S9906708,"Ethiopia IEHK2011,kit,suppl.3-renew",master,
S9906710,Ethiopia Emergency Drug kit 2019,master,
S9906712,"Sudan, Primary Healthcare kit, 2016",master,
S9906712,"SD, Primary Healthcare kit, 2016",master,
S9906713,"Sudan, IMCI Medicine kit, 2016",master,
S9906714,"Sudan Community Midwife kit, 2016",master,long line
S9906719,DPRK EM Kit 2018,master,long line
S9906728,DRC Health Centre kit 2016,master,long line
S9906729,DRC Measles Kit 2021,master,
S9906731,DPRK HHD Kit Refill 2018,master,long line
S9906732,DPRK Household Doctors Kit 2018,master,long line
S9906733,South Sudan PHCC Kit 2018 Basic Medicin,master,
S9906734,"South Sudan, PHCU Kit 2018",master,
S9906735,South Sudan PHCC Kit 2018-Injectables,master,
S9906736,South Sudan PHCC Kit 2018- IV infusions,master,
S9906737,South Sudan PHCC Kit 2018-Med Dev & Diag,master,
S9906742,Mozambique Community Health Worker Kit,master,long line
S9906753,"Nut kit,Inpatient, Ethiop.Mod. Med. Supp",master,
S9906754,"Nutrition Kit, Anthropometric. ETH",master,
S9906791,"Mali, in-patient CMAM kit, version 2014",master,
S9906797,"Ethiopia Midwifery kit,2-equipment V2",master,long line
S9906800,Yemen Primary Health Kit 2021-Basic meds,master,
S9906801,Yemen Primary Health Kit2021-consumables,master,long line
S9906802,Yemen Primary Health Kit 2021-Suppl meds,master,long line
S9906804,"Yemen PHC kit 2025, Basic Medicines",master,
S9906805,"Yemen PHC kit 2025, Supp. Medicines",master,
S9906806,"Yemen PHC kit 2025, Consumables",master,
S9906807,"Yemen PHC kit 2025, Supp. HC Medicines",master,
S9908200,"Sterilization, kit C",master,
S9908300,"Obstetric,surgical kit,suppl.1-drugs",master,
S9908302,"Obstetric,surgical kit,suppl.3-renewable",master,
S9908303,"Obstetric,surgical kit,suppl.1a-drugs",master,long line
S9908305,"Obstetric,surgical kit,suppl.2-equipment",master,long line
S9908402,"Resuscitation kit,basic",master,long line
S9910000,"Surg.inst.,abdominal /SET",master,long line
S9910001,"Surg.inst.,basic surgery /SET",master,long line
S9910002,"Surg.inst.,curettage /SET",master,long line
