Kit,Description,Kit per day,Humanizer,UNICEF staff,Paid work hours per day,Humanizer hours,UNICEF hours,Total Hours,Hourly rate  humanizer staff in USD,Hourly rate UNICEF staff in USD,Cost for humanizer for 800 kits ,Cost for UNICEF staff for 800 kits,Total cost,Hours per kit,Cost for subkit/prepack/Kits
S7901040,"ECHO IEHK 2024,Basic Med&Renewable UNIT",,,,,0.00,0,0.00,,,0,0,0,#DIV/0!,#DIV/0!
S7901042,"ECHO IEHK 2024,Basic Equipment UNIT",800,5,2,78.5,392.50,157,549.50,25.87,30,10153.975,4710,14863.975,0.686875,18.57996875
S7901044,"ECHO IEHK 2024,Suppl Med Inj UNIT",,,,,0.00,0,0.00,,,0,0,0,#DIV/0!,#DIV/0!
S7901045,"ECHO IEHK 2024,Suppl Mental Health UNIT",800,6,1,77.5,465.00,77.5,542.50,25.87,30,12029.55,2325,14354.55,0.678125,17.9431875
S7901050,"ECHO IEHK 2024,Suppl Renewable UNIT",,,,,0.00,0,0.00,,,0,0,0,#DIV/0!,#DIV/0!
S7901051,"ECHO IEHK 2024,Suppl Equipment UNIT",,,,,0.00,0,0.00,,,0,0,0,#DIV/0!,#DIV/0!
S7903003,"ECHO AWD, Periphery kit, Renewable",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991040,"ECHO IEHK 2024,Basic Med&Renewable S 1/3",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991041,"ECHO IEHK 2024,Basic Med&Renewable S 2/3",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991042,"ECHO IEHK 2024,Basic Med&Renewable S 3/3",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991052,"ECHO IEHK 2024,Suppl Renewable UNIT S1/6",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991053,"ECHO IEHK 2024,Suppl Renewable UNIT S2/6",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991054,"ECHO IEHK 2024,Suppl Renewable UNIT S3/6",800,10,2,80.5,805.00,161,966.00,25.87,30,20825.35,4830,25655.35,1.2075,32.0691875
S7991055,"ECHO IEHK 2024,Suppl Renewable UNIT S4/6",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991056,"ECHO IEHK 2024,Suppl Renewable UNIT S5/6",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991057,"ECHO IEHK 2024,Suppl Renewable UNIT S6/6",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991145,"ECHO IEHK 2024,Suppl Med Inj UNIT S 1/5",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991146,"ECHO IEHK 2024,Suppl Med Inj UNIT S 2/5",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991147,"ECHO IEHK 2024,Suppl Med Inj UNIT S 3/5",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991148,"ECHO IEHK 2024,Suppl Med Inj UNIT S 4/5",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991149,"ECHO IEHK 2024,Suppl Med Inj UNIT S 5/5",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7991151,"ECHO IEHK 2024,Suppl Med Inj UNIT P 2/2",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7993013,"AWD, Periphery kit, Renewable sub 1/3",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7993023,"AWD, Periphery kit, Renewable sub 2/3",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S7993033,"AWD, Periphery kit, Renewable sub 3/3",800,7,2,88.5,619.50,177,796.50,25.87,30,16026.465,5310,21336.465,0.995625,26.67058125
S7998051,"ECHO IEHK 2024,Suppl Equipment UNIT S1/2",800,9,2,79.5,715.50,159,874.50,25.87,30,18509.985,4770,23279.985,1.093125,29.09998125
S7998052,"ECHO IEHK 2024,Suppl Equipment UNIT S2/2",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S9901022,"IEHK2017,kit,suppl.1c-cold chain medicin",800,10,2,7.5,75.00,15,90.00,25.87,30,1940.25,450,2390.25,0.1125,2.9878125
S9901023,"IEHK2017, PEP kit",800,5,1,7.5,37.50,7.5,45.00,25.87,30,970.125,225,1195.125,0.05625,1.49390625
S9901024,"IEHK2017, kit, basic unit",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9901025,"IEHK2017, kit, basic unit malaria",800,8,2,7.5,60.00,15,75.00,25.87,30,1552.2,450,2002.2,0.09375,2.50275
S9901026,"IEHK2017,kit,suppl.1-medicines",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9901027,"IEHK2017,kit,suppl.1a-medicines",800,4,1,7.5,30.00,7.5,37.50,25.87,30,776.1,225,1001.1,0.046875,1.251375
S9901028,"IEHK2017,kit,suppl.1b-malaria",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9901029,"IEHK2017,kit,suppl.2-equipment",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9901030,"IEHK2017,kit,suppl.3-renewable",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9901040,"IEHK 2024,Basic Medicine&Renewable UNIT",800, , ,63.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9901041,"IEHK 2024,Basic Malaria UNIT",800,10,2,62.5,625.00,125,750.00,25.87,30,16168.75,3750,19918.75,0.9375,24.8984375
S9901042,"IEHK 2024,Basic Equipment UNIT",800,5,2,74.5,372.50,149,521.50,25.87,30,9636.575,4470,14106.575,0.651875,17.63321875
S9901044,"IEHK 2024,Suppl. Medicine Inj. UNIT",800, , ,46.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9901045,"IEHK 2024,Suppl. Med Mental Health UNIT",800,6,1,15.5,93.00,15.5,108.50,25.87,30,2405.91,465,2870.91,0.135625,3.5886375
S9901046,"IEHK 2024,Suppl Medicine Controlled UNIT",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S9901047,"IEHK 2024,Suppl Medicine Cold Chain UNIT",800,5, ,60.5,302.50,0,302.50,25.87,30,7825.675,0,7825.675,0.378125,9.78209375
S9901048,"IEHK 2024,Suppl. Malaria UNIT",800, , ,53.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9901049,"IEHK 2024,Suppl. PEP Unit",800,3,1,65.5,196.50,65.5,262.00,25.87,30,5083.455,1965,7048.455,0.3275,8.81056875
S9901050,"IEHK 2024,Suppl. Renewable UNIT",800, , ,35.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9901051,"IEHK 2024,Suppl. Equipment UNIT",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S9901152,"WASH&DignityKit,firstResp,1HH,w PurifTab",1008,7,2,7.5,52.50,15,67.50,25.87,30,1358.175,450,1808.175,0.066964286,1.793824405
S9901153,"WASH&DignityKit,firstResp,5HH,wPurifTab",800,14,2,7.5,105.00,15,120.00,25.87,30,2716.35,450,3166.35,0.15,3.9579375
S9901154,Ukraine hygiene kit,800,8,2,7.5,60.00,15,75.00,25.87,30,1552.2,450,2002.2,0.09375,2.50275
S9902217,"Midwifery kit,1-drugs",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9902219,"Midwifery kit,3-renewable",800, , ,13.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9902220,"Midwifery kit,suppl.1a-drugs",800,3,1,7.5,22.50,7.5,30.00,25.87,30,582.075,225,807.075,0.0375,1.00884375
S9902221,"Midwifery kit – equipment, 2",800,6,2,7.5,45.00,15,60.00,25.87,30,1164.15,450,1614.15,0.075,2.0176875
S9902450,"NBK, Clinic, Module 3, Equipment",800, , ,64.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9902460,"NBK, Hospital, Module 1, Medicines",800,5,2,,0.00,0,0.00,,,0,0,0,0,0
S9902600,Clean Delivery Kit,210,1,0,47.5,47.50,0,47.50,25.87,30,1228.825,0,1228.825,0.226190476,5.851547619
S9903000,"AWD, Community kit, Community Care",800,8,2,7.5,60.00,15,75.00,25.87,30,1552.2,450,2002.2,0.09375,2.50275
S9903001,"AWD Kit, Periphery kit, Logistics Part",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9903002,"AWD, Periphery kit, Equipment",800,6,1,7.5,45.00,7.5,52.50,25.87,30,1164.15,225,1389.15,0.065625,1.7364375
S9903003,"AWD, Periphery kit, Renewable",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9903004,AWD Periphery kit Drug,800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9903005,AWD Community Kit Drug,800,10,2,7.5,75.00,15,90.00,25.87,30,1940.25,450,2390.25,0.1125,2.9878125
S9906710,Ethiopia Emergency Drug kit 2019,800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9906712,"SD, Primary Healthcare kit, 2016",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9906713,"SD, IMCI Medicine kit, 2016",800, , ,52.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9906714,"Sudan Community Midwife kit, 2016",800,6,2,7.5,45.00,15,60.00,25.87,30,1164.15,450,1614.15,0.075,2.0176875
S9906729,DRC Measles Kit 2021,800, , ,61.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9906733,South Sudan PHCC Kit 2018 Basic Medicin,800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9906734,"South Sudan, PHCU Kit 2018",800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
S9906737,South Sudan PHCC Kit 2018-Med Dev & Diag,800,,,7.5,0.00,0,0.00,25.87,30,0,0,0,0,0
