Material Number,Description,Article Type,Batch Managed,Plant,Unit of Measure,Multi-Part,Kit parrent,KIT Routing,Full Pallet Qty,Weight,Weight UOM,Volume,Volume UOM,Shelf life allowed,Storage Strategy,Batch Class,Packing Material,Packing material Volume,Less Than Count Percentage,Temperature cond.,Hazardous Material Number
S0721000,"Forceps,dressing,standard,155mm,str",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.034,KGM,0.001,DMQ,--,HBW,--,No,--,10,--,--
S0390020,"Airway,Guedel,size 0",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.029,KGM,0.28,DMQ,--,HBW,--,No,--,10,--,--
S0514000,"Brush,hand,scrubbing,plastic",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.032,KGM,0.155,DMQ,--,HBW,--,No,--,10,--,--
S0189000,"Weighing trousers,infant,25kg,PAC-5",Z01,No,1000,PAC,No,--,SHORT_LINE,Yes,0.538,KGM,3.655,DMQ,--,HBW,--,No,--,10,--,--
S0276500,"Tray,instr,ss,310x195x60mm,w/cover",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,1.107,KGM,6.816,DMQ,--,HBW,--,No,--,10,--,--
S0327540,"Gloves,surg,pwdfree,8.5,ster,s.u.,pair",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.041,KGM,0.216,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0330025,"Gloves,exam,latex,pwdfree,M,BOX-100",Z01,Yes,1000,EA,No,--,SHORT_LINE,Yes,0.722,KGM,3.143,DMQ,425,HBW,MEDICAL,No,--,10,--,--
S0512111,"Bandage,gauze,8cmx4m,roll",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.01,KGM,0.071,DMQ,--,HBW,--,No,--,10,--,--
S0728000,"Forceps,artery,Pean/Roch,200mm,cvd",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.118,KGM,1.016,DMQ,--,HBW,--,No,--,10,--,--
S0114400,Height measuring instrument (0-2.2m),Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.257,KGM,1.612,DMQ,--,HBW,--,No,--,10,--,--
S0516110,"First Aid bag,UNICEF,blue,410x280x170mm",Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.59,KGM,7.672,DMQ,--,HBW,--,No,--,10,--,--
